серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;тип ЭОБ;дата;серийный номер трансформатора, в который входит ЭОБ
039-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;ДНЕЭ;04.04.2018;Т039-18
040-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;ДНЕЭ;04.04.2018;Т040-18
041-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;ДНЕЭ;04.04.2018;Т041-18
042-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;ДНЕЭ;04.04.2018;Т042-18
043-18;2018;Красноярск-6;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;05.04.2018;Т043-18
044-18;2018;Terna18;Terna;Terna National Electricity Grid;110;45.10096374952365, 7.708535875231089;ДНЕЭ;24.07.2018;Т044-18
045-18;;тестовый ЭОБ ДНЕЭ;;;;;ДНЕЭ;04.05.2018;
046-18;;тестовый ЭОБ ДНЕЭ;;;;;ДНЕЭ;04.05.2018;
047-18;2018;ТТЭО-Г для ИЦ;;;;;ТТЭО-Г;24.05.2018;
048-18;2018;Кандалакша-1;Кандалакшский алюминиевый завод;РУСАЛ;10;67.19400905056888, 32.43380055830461;ТТЭО-Г;01.06.2018;Т048-18
049-18;2018;Норникель;;;10;;ТТЭО-Г;18.06.2018;Т049-18
050-18;2018;Норникель;;;10;;ТТЭО-Г;18.06.2018;Т050-18
051-18;2018;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ТТЭО-Г;25.10.2018;Т051-18
052-18;2018;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ТТЭО-Г;25.10.2018;Т052-18
